Keys,Mesor,Mesor SE,Amplitude,Amplitude SE,Acrophase,Acrophase SE,RSS,MSS,F statistic,p-value
log_hf,3.218785492900647,0.4305188918789871,0.7449320018691864,0.6084443339130213,16.40510112811585,3.123991388870011,2562.0055449392817,6.667870145038449,0.027327277515538314,0.9730772774220218
norm_lf,61.717468296910134,3.294020425334341,4.495123328639903,4.661069219711422,22.686309933808115,3.9570328076332255,142873.94156172225,242.20120870049232,0.017799695756671848,0.9823725874014936
norm_hf,38.282531702790386,3.2940204207329375,4.495123294352273,4.661068161039741,10.686309414929482,3.956286063446507,142873.94147078402,242.20120491140068,0.017799695489535736,0.9823725876634767
ratio_lf_hf,2.257643128904067,0.37262190314014393,0.7107013999146089,0.5267187856799861,1.000540872773669,2.8335639743650254,1970.7015746459117,6.066875864457536,0.03232462864817566,0.9682403043068987
total_power,5700.687086243915,5453.582540880248,10682.707577914105,7719.545852072198,8.92132117357471,2.7551960874290806,425367074344.7694,1366952688.384188,0.033742628646430094,0.9668726123179632
sd1,18.36965965829586,10.546133468515178,15.051285922935273,14.928052928087814,8.980282322765994,3.7815694600089156,1475576.58653071,2713.5506306934444,0.01930925299463484,0.9808933704246781
sd2,33.49103329484301,13.043679098451536,17.27751377088995,18.461881240246097,9.75875324883551,4.074809874703214,2229638.1698875194,3576.1995901669743,0.01684134053851776,0.9833129486310028
sd_ratio,2.8950862102404527,0.20628059398951326,0.4058393916045738,0.291634581722076,12.623241609247325,2.7465400687385797,609.6335697527456,1.9776930242632584,0.034062718631433585,0.9665641713472646
ellipse_area,11351.36096454005,10704.093080604312,20650.646172349272,15151.643196729758,8.920358890379191,2.797486947806204,1631116544503.1018,5108084834.378921,0.03288231668161874,0.9677021493716775
sampen,1.351140304192188,0.10145615786092389,0.252939331567149,0.14336151373657272,14.162730168803822,2.168552060193759,161.4209279472086,0.7690156078173205,0.05002241025849274,0.9513210960528539
dfa_alpha1,1.0600294710562077,0.03396076617196665,0.11741562269315214,0.048070065835986865,20.471311352905246,1.561047656701779,21.87770645248976,0.16514594644986233,0.07926024793728849,0.9240744905066396
dfa_alpha2,1.1057531659289754,0.032394612302894865,0.10149839229773266,0.04584929899091785,9.930060592174064,1.722732070805953,18.618138017144652,0.12342676276078225,0.06960851873558999,0.9329732003926715
