Keys,Mesor,Mesor SE,Amplitude,Amplitude SE,Acrophase,Acrophase SE,RSS,MSS,F statistic,p-value
hr_std,11.232299733123927,0.9808325070348437,5.0405164315060915,1.394266665363885,17.542439960978598,1.0458337453862967,26119.493474174567,301.74878633908855,0.12130259186278332,0.8863820087670948
sdnn,118.68430552663746,22.877999318572837,112.39927136915915,32.5694160331338,18.73500039838001,1.092295035775035,13510878.401858091,149592.6266674164,0.11625614066601751,0.8908161113467346
sdnn_index,109.84278877815859,21.660290259031417,102.21633612636096,30.83621111858657,18.80698652585147,1.1371825976405647,11612681.903038781,123712.60554192704,0.1118589460243735,0.8946995508242911
sdann,32.695574939139284,7.085896222136275,33.32846572975648,10.071870821918923,17.50522365752873,1.142766061145602,1240621.6315584239,13194.679285269365,0.11167315559482405,0.8948640418125796
rmssd,154.224336831925,33.05259942572024,135.26212157998646,47.05413242899519,18.737342374208197,1.3113377895313205,23611851.710451335,216638.24821745377,0.09633728155578801,0.9085566659126625
sdsd,131.4427173013774,28.898621277954614,124.54083791160862,41.14039798095777,18.729170731795705,1.245235007018013,18916246.318564888,183657.1849215426,0.101944138874086,0.9035241563611678
nn50,101.45241133959645,16.581123107102876,17.958899435281136,23.568850885622037,17.514650551778132,4.962526128599022,3509143.343484777,3830.972645199058,0.01146297225198108,0.9886086586289046
pnn50,32.15268241741108,5.140913600574744,9.318115826555593,7.29998786857795,17.1042343690525,2.968466284082939,369259.97431478393,1033.492406523928,0.029387615835261078,0.9710798618322016
tri_index,6.490039485511319,1.1265316848855513,4.205931672539853,1.6004896754926465,20.408874847439495,1.4403950646109034,25445.240748758937,210.3353899737883,0.08679507561084857,0.917192130720217
abs_ulf,2191.041197914519,1147.8928263884322,3753.2432648467934,1632.2603513833803,17.694911067646558,1.6432215542128636,23962220789.165047,167197149.2070103,0.07326408024198745,0.9295918484339024
abs_vlf,19354.13054298299,14176.926894109953,33949.53842543717,20111.02344510381,16.764450898745224,2.2490802843571234,3090694597477.192,13746373787.76757,0.04670048114406899,0.954472035279565
abs_lf,35013.099904351184,21199.305477636564,50558.96154709492,30178.516438887367,18.6218139847594,2.2502217177011445,6888470742744.584,30269948719.767006,0.046140061187356994,0.9550047346578439
abs_hf,25420.999960790487,14882.902580144533,36807.4220166447,21178.64213617128,18.15923110087232,2.170822393803974,3449667471320.101,16055591670.864548,0.04886955451377608,0.9524133180836758
rel_ulf,6.47045824795878,2.1986095282169438,5.815699951488799,3.1133316341807213,4.215019011682948,2.039778086688213,77897.26665117705,404.8457987551847,0.054570347197993856,0.9470257161587314
rel_vlf,27.49029668260159,4.125458531998581,6.453371399697755,5.855545165684742,20.76211240807679,3.441208236942107,229660.33385201174,496.13887018441574,0.022683316920950006,0.9775959331715296
rel_lf,24.816249549761384,2.847745017233065,4.481552217498425,4.05182785754304,18.052846052888334,3.411980277455693,109512.49840953735,238.08750846625645,0.022827703460356605,0.9774550968647159
rel_hf,41.2229956006786,4.34972929818949,8.085088888078467,6.1497678728227445,9.953577430987124,2.907384700193983,266510.296667089,784.9097913516782,0.030923956455939663,0.9695933637593268
log_ulf,3.93589306254962,0.5785871279210116,2.142339472244878,0.8229035247753067,17.808024513386005,1.450816328533103,6662.514237334457,54.45073059054869,0.08581335076133367,0.918085655274429
log_vlf,6.326784828569473,0.40295628115461646,2.8412188766704887,0.5731854483149227,17.883953384116214,0.7617320558665953,6559.670797621657,95.74581172190683,0.15325937140695006,0.8588580331596987
log_lf,6.283364767639846,0.48669403362478036,3.09326012856678,0.6921391112661819,17.754158411693123,0.8452627415712665,8314.802588291575,113.53965615873611,0.14337879667106818,0.867266740466869
log_hf,6.647866935972569,0.49917564728158637,2.6456847052667047,0.7091235927773559,17.267123740734295,1.0147173281142712,7009.392656457301,83.24301253869334,0.12469719910056297,0.8834129130403084
norm_lf,41.77522866179276,4.108070873891625,11.954672702761112,5.841046421236637,20.05964656530763,1.8464530497253555,285547.90157520125,1696.5363102021847,0.062384038400757014,0.9396954487655689
norm_hf,58.22477133982983,4.108070846529051,11.954672304293478,5.841045825786162,8.059646575665958,1.8464653187008846,285547.8988626298,1696.5361971783755,0.06238403483733092,0.9396954520943269
ratio_lf_hf,1.186202969639993,0.3165222253662803,0.9082113335242017,0.45032511847573825,19.705542883699824,1.871459167018888,1681.1391833818057,9.779367155187856,0.06107962751954485,0.9409148238695496
total_power,81979.27086817849,49364.60761034219,122603.70557800638,70227.04228668279,17.9575556106588,2.1622625780070286,38028948798226.94,178242831869.72656,0.04921381720441844,0.9520870179114305
sd1,109.05251858568865,23.371744405647988,95.64486923960759,33.272334972685584,18.73735340946854,1.3113522395557646,11805952.661483113,108319.36329833881,0.0963372755460192,0.908556671323236
sd2,125.50157694019148,23.073341688169542,125.39782233714054,32.84735545391064,18.715311672258792,0.9874349259114625,15376343.509021226,186194.70308432681,0.12714624782142883,0.8812776152005308
sd_ratio,1.5915062135046352,0.2929436871318552,0.48833349136472864,0.41475368230453086,21.54670426002988,3.2372509810427,1174.9815586926416,2.8553652830222473,0.025516430662190746,0.9748365368050241
ellipse_area,96830.95327426677,36419.730856764385,131643.26855517706,51833.00803917932,19.432622544424646,1.4850768463569735,25897815187451.754,205320071518.6973,0.08324488901252561,0.9204278740657654
sampen,0.7106163722028986,0.07588991939613043,0.3009429150794054,0.1067331540676826,1.9542983486454226,1.369865342589061,122.40046664672987,1.098819878958187,0.09426114985623879,0.9104279074149203
dfa_alpha1,0.7865724966330826,0.04925501512325282,0.23615265232715751,0.06991005194725083,20.766974206869637,1.122722954753578,61.23365244509694,0.6643974915547362,0.11392711985586156,0.8928707116065164
dfa_alpha2,0.8151655713728295,0.07123295060431445,0.13361907093002354,0.1013363552255312,19.762565775362937,2.8629466536186188,71.53272890610276,0.21171460936306427,0.031076731341120708,0.9694456815448506
